supply_delay_days,personnel_available,equipment_status_score,weather_severity,mission_type,readiness_status
7,61,0.9262924774691714,Moderate,Resupply,Delayed
6,60,0.77082320910838,High,Evacuation,Critical
6,54,0.8791336460280296,Low,Resupply,Delayed
2,76,0.653452256597285,Low,Evacuation,Ready
4,61,0.7074856077000391,Moderate,Resupply,Ready
9,66,0.8563888381084155,Moderate,Training,Critical
7,55,0.6931059964085153,Low,Evacuation,Delayed
11,82,0.7942524675794944,High,Evacuation,Critical
8,54,0.5926863895412557,High,Recon,Critical
3,77,0.799885657485249,Low,Recon,Ready
2,63,0.9307568536134467,Low,Resupply,Ready
3,54,0.9343198199117129,Moderate,Evacuation,Delayed
4,82,0.8621722031647698,Moderate,Resupply,Ready
5,99,0.8728766895380631,Low,Training,Ready
5,97,0.7789637225753503,Moderate,Recon,Ready
4,90,0.7923340450829124,Moderate,Resupply,Ready
3,68,0.566825290705259,Low,Resupply,Critical
8,71,0.7219295942106505,Moderate,Recon,Delayed
2,54,0.7253881419431819,High,Evacuation,Critical
1,51,0.9792489178338701,Low,Resupply,Delayed
4,79,0.7155434313116447,Low,Recon,Ready
5,96,0.7746713224513788,Low,Evacuation,Ready
4,88,0.7666256996395513,High,Training,Critical
3,53,0.8183808585221636,High,Recon,Critical
4,82,0.874116415665948,Low,Resupply,Ready
8,62,0.6125209380854361,Moderate,Training,Delayed
2,69,0.7643622095492179,Moderate,Evacuation,Ready
2,56,0.9129588536580152,Moderate,Evacuation,Delayed
2,64,0.7315573569187557,Low,Recon,Ready
7,72,0.6392287731867865,Low,Recon,Delayed
6,63,0.8273545376781495,Low,Recon,Delayed
7,72,0.9118836978995615,Moderate,Evacuation,Delayed
6,68,0.5315701464636957,Low,Training,Critical
7,78,0.8883952417036136,High,Evacuation,Critical
6,69,0.9108239664808856,Low,Resupply,Delayed
4,78,0.7307614637943034,Low,Evacuation,Ready
2,73,0.9916528284092336,Moderate,Resupply,Ready
3,67,0.8933541703536545,Moderate,Training,Ready
4,59,0.8868312824478328,Low,Recon,Delayed
7,90,0.873919287206036,Low,Recon,Delayed
4,57,0.575304051609137,High,Evacuation,Critical
3,75,0.6086154432265054,Low,Recon,Ready
2,78,0.7319950657322125,Low,Training,Ready
6,59,0.6320021749797329,High,Recon,Critical
3,66,0.7076204861670202,Low,Evacuation,Ready
5,51,0.9442320549614603,Low,Training,Delayed
9,55,0.9121634459396346,Low,Resupply,Critical
6,54,0.815019939239991,Low,Evacuation,Delayed
6,77,0.9290601971255518,Low,Resupply,Delayed
9,90,0.8918861945086246,Low,Training,Critical
4,54,0.7144924659204452,Low,Evacuation,Delayed
9,67,0.6005325760249726,Low,Evacuation,Critical
2,75,0.7571005200046697,Moderate,Training,Ready
10,69,0.8681144412642751,Low,Recon,Critical
6,90,0.7182097993647965,Low,Evacuation,Delayed
9,98,0.8333859548919487,High,Evacuation,Critical
4,76,0.5471637131455218,Moderate,Resupply,Critical
1,98,0.8740023681857017,Low,Recon,Ready
6,61,0.906356809946531,High,Resupply,Critical
8,56,0.8534189278902706,Low,Resupply,Delayed
6,52,0.9836317937631828,Low,Recon,Delayed
2,59,0.9133260287303202,Moderate,Recon,Delayed
3,83,0.9515468639382691,Moderate,Training,Ready
5,74,0.966785541728824,Low,Recon,Ready
3,84,0.9006739959369043,Low,Evacuation,Ready
3,65,0.8371294210032496,Moderate,Recon,Ready
5,51,0.5028592906803946,Low,Training,Critical
6,73,0.7329128766115623,High,Training,Critical
5,59,0.7855811493111805,Low,Training,Delayed
3,87,0.6520151362239999,High,Recon,Critical
5,71,0.659052223451736,Moderate,Recon,Ready
3,75,0.9805797078550826,High,Resupply,Critical
3,92,0.945855432601373,Moderate,Resupply,Ready
6,88,0.9245895027508522,Moderate,Evacuation,Delayed
5,76,0.7030059008530554,Low,Resupply,Ready
6,78,0.5068492752044573,Low,Evacuation,Critical
2,96,0.540111123227857,Low,Training,Critical
4,87,0.6560981841088018,High,Resupply,Critical
7,69,0.5078714564978385,High,Recon,Critical
6,76,0.5085748909575991,Low,Resupply,Critical
5,90,0.9583016508212054,Low,Evacuation,Ready
4,69,0.8530792510595271,Low,Resupply,Ready
3,93,0.6544779950340763,Moderate,Training,Ready
3,68,0.5663222888004766,Low,Recon,Critical
7,69,0.7558178589475386,Moderate,Evacuation,Delayed
7,84,0.5026730804271822,High,Recon,Critical
6,96,0.9692068719290721,Low,Recon,Delayed
6,51,0.7074075596944736,Low,Evacuation,Delayed
7,79,0.7011674776186664,Low,Recon,Delayed
8,83,0.6952968037908911,Low,Recon,Delayed
6,71,0.5346641651938824,Low,Resupply,Critical
3,52,0.8191611198959132,Low,Recon,Delayed
7,55,0.8665018098141767,High,Recon,Critical
5,64,0.8380626987941451,Low,Recon,Ready
5,76,0.5692177466646972,Low,Recon,Critical
7,59,0.7894200840177963,High,Evacuation,Critical
4,58,0.784742242086127,Moderate,Training,Delayed
9,82,0.934205393970691,Low,Resupply,Critical
4,81,0.6895638291878234,Moderate,Recon,Ready
5,97,0.6857429718297171,Low,Recon,Ready
2,55,0.8092635293590928,Moderate,Evacuation,Delayed
6,90,0.8165363267497565,Moderate,Training,Delayed
3,85,0.7346426136628952,Moderate,Recon,Ready
6,51,0.7215296811652105,Low,Evacuation,Delayed
2,78,0.7470738353189413,High,Resupply,Critical
3,53,0.9305226497516559,Low,Resupply,Delayed
5,50,0.7305834506269551,Low,Recon,Delayed
3,68,0.9699658959849112,Low,Recon,Ready
4,75,0.7520018817981631,Low,Training,Ready
5,74,0.9746003465904457,Low,Training,Ready
6,59,0.9164159509345379,High,Recon,Critical
3,64,0.6812156613079146,High,Evacuation,Critical
3,71,0.9318207106483081,Low,Training,Ready
4,100,0.5550316421005577,Low,Recon,Critical
5,97,0.9625235876715073,Low,Training,Ready
4,70,0.8158217575414458,Low,Recon,Ready
2,71,0.5271953742611556,Low,Resupply,Critical
6,85,0.8221283618254058,High,Recon,Critical
6,83,0.9871238270723781,Low,Resupply,Delayed
8,79,0.5349003273073145,Low,Training,Critical
1,74,0.7773438548900431,Low,Recon,Ready
6,94,0.8738971748796862,High,Training,Critical
2,77,0.9051292933497657,Moderate,Resupply,Ready
5,50,0.7069137326603979,High,Recon,Critical
2,98,0.6020832795841216,Moderate,Training,Ready
6,94,0.521171139386192,Low,Resupply,Critical
4,53,0.7898630785486124,Low,Training,Delayed
3,56,0.7264555351338053,Moderate,Evacuation,Delayed
5,98,0.9743721975748555,Low,Resupply,Ready
6,58,0.5303024538574549,Moderate,Resupply,Critical
3,85,0.8426976717230028,Low,Resupply,Ready
4,68,0.5124831110600285,Low,Recon,Critical
8,50,0.5857170883552714,Moderate,Recon,Critical
4,59,0.7267894999614171,Moderate,Recon,Delayed
10,85,0.727436221401434,Moderate,Evacuation,Critical
4,58,0.842850271466822,Low,Evacuation,Delayed
5,94,0.9551065174338783,Moderate,Resupply,Ready
10,95,0.8195160794574604,Low,Evacuation,Critical
3,91,0.9767675489257543,Low,Training,Ready
4,81,0.9408078199389989,Low,Resupply,Ready
7,81,0.7922498977653951,Low,Resupply,Delayed
5,55,0.9168959754594137,Low,Training,Delayed
10,97,0.821288805161817,Low,Resupply,Critical
4,87,0.5392789154618636,Low,Evacuation,Critical
2,66,0.870282361629755,Low,Recon,Ready
3,59,0.5474542206336731,Low,Training,Critical
5,99,0.7970413902848562,Low,Evacuation,Ready
8,76,0.8513201029291144,Low,Training,Delayed
4,99,0.5332638041054276,Moderate,Training,Critical
3,84,0.6153973269632659,Low,Resupply,Ready
8,70,0.9578361161308249,Low,Resupply,Delayed
6,74,0.8081572461164481,Low,Evacuation,Delayed
8,77,0.6231430094052658,Moderate,Training,Delayed
3,96,0.8453398855740033,High,Resupply,Critical
3,64,0.7983882099808448,Moderate,Resupply,Ready
5,53,0.7507878499589742,Moderate,Training,Delayed
11,78,0.9880934874940419,Low,Evacuation,Critical
7,58,0.8417268887037545,Moderate,Evacuation,Delayed
4,76,0.6877205548339563,Moderate,Training,Ready
3,75,0.9000367160384339,Low,Evacuation,Ready
8,68,0.9422916464605939,Low,Resupply,Delayed
8,77,0.5626102797584157,Low,Training,Critical
3,66,0.6002764889226333,High,Resupply,Critical
3,92,0.6081135045638899,Moderate,Recon,Ready
6,90,0.8456059046932702,Moderate,Recon,Delayed
2,91,0.8015197775266416,Low,Evacuation,Ready
7,99,0.8094957823492941,Low,Recon,Delayed
5,69,0.9703866498447504,Low,Resupply,Ready
5,94,0.887955766403653,Low,Recon,Ready
6,89,0.5639684622558916,High,Resupply,Critical
1,88,0.6737535412125906,Moderate,Evacuation,Ready
10,98,0.7176968230878678,Low,Evacuation,Critical
2,72,0.6979807943738024,High,Resupply,Critical
5,96,0.8346543045809396,Low,Recon,Ready
4,81,0.9459465516282812,High,Evacuation,Critical
5,96,0.653025731761394,Low,Training,Ready
4,82,0.7759385682105928,Low,Evacuation,Ready
5,95,0.8947047109567928,Low,Recon,Ready
6,54,0.7081090294226746,Low,Training,Delayed
1,92,0.5840590641996479,Low,Recon,Critical
3,97,0.7374754826318741,Moderate,Resupply,Ready
2,83,0.5276112603715142,High,Training,Critical
5,89,0.9711917270011384,Moderate,Recon,Ready
4,60,0.5374106025974865,Low,Training,Critical
7,99,0.7192283576252891,Moderate,Recon,Delayed
7,52,0.7649406305442631,Low,Training,Delayed
2,82,0.9926519161436427,Low,Recon,Ready
6,60,0.5830109118214304,Moderate,Resupply,Critical
7,65,0.5572157593061793,Moderate,Training,Critical
2,67,0.5043530735312718,Low,Training,Critical
7,79,0.5777857184346511,Low,Training,Critical
5,97,0.6036364895338338,High,Training,Critical
7,59,0.8152904707915462,Low,Resupply,Delayed
6,67,0.6098533951957001,Low,Training,Delayed
5,87,0.5102604073646626,Moderate,Evacuation,Critical
6,68,0.9133091727512443,Low,Resupply,Delayed
5,85,0.6827978505019834,Low,Evacuation,Ready
4,62,0.6768483432903669,Low,Training,Ready
7,95,0.6512395145839633,Moderate,Recon,Delayed
1,52,0.9876866385732104,Moderate,Evacuation,Delayed
8,59,0.5850577086546407,Moderate,Training,Critical
4,87,0.9491190319766176,High,Evacuation,Critical
5,50,0.888401666069944,Moderate,Training,Delayed
3,76,0.5382399777496565,Low,Training,Critical
7,95,0.9933645507504243,Low,Training,Delayed
2,57,0.6356829817695053,Moderate,Recon,Delayed
5,100,0.5492914635112062,Moderate,Evacuation,Critical
10,95,0.9146571170628797,Moderate,Resupply,Critical
7,91,0.85333776683885,Moderate,Resupply,Delayed
7,66,0.8086094029389503,Low,Resupply,Delayed
10,58,0.5779904318494666,Low,Resupply,Critical
1,55,0.739248058127981,Low,Training,Delayed
5,92,0.8902780134436069,Low,Evacuation,Ready
3,74,0.6518119690719202,Low,Evacuation,Ready
8,88,0.6558449142575207,Moderate,Recon,Delayed
7,98,0.501570453024061,Moderate,Evacuation,Critical
3,77,0.5871217008226898,Low,Evacuation,Critical
1,82,0.9377028125609171,Low,Evacuation,Ready
5,86,0.7208732458188536,Low,Recon,Ready
3,58,0.992117249617217,Low,Resupply,Delayed
6,67,0.6978539817868963,Moderate,Evacuation,Delayed
3,70,0.8575932273901206,Moderate,Recon,Ready
4,51,0.6409595214523646,Moderate,Recon,Delayed
5,92,0.6819048205704668,Moderate,Training,Ready
8,87,0.5953629937954473,Moderate,Recon,Critical
7,89,0.6735311842496975,Low,Resupply,Delayed
5,85,0.7736187602103215,Low,Evacuation,Ready
4,99,0.9958864404896247,Low,Recon,Ready
6,92,0.8321008565358928,High,Resupply,Critical
8,86,0.599622977204157,Low,Recon,Critical
4,64,0.5224807207957756,Low,Recon,Critical
3,77,0.5631782406572553,High,Recon,Critical
2,67,0.7812776006365236,High,Recon,Critical
3,83,0.8825801644083832,Moderate,Recon,Ready
9,71,0.9702096036503735,Low,Resupply,Critical
5,60,0.5079115859984105,Low,Evacuation,Critical
4,62,0.7613800707809348,Low,Evacuation,Ready
7,53,0.7354336781115884,Low,Evacuation,Delayed
8,71,0.828027510987852,Low,Evacuation,Delayed
4,56,0.779789427232671,Low,Resupply,Delayed
4,92,0.8435195752912403,High,Training,Critical
8,73,0.8290412923745951,Low,Training,Delayed
5,53,0.5585058624289732,Moderate,Resupply,Critical
5,77,0.8998589568093598,Moderate,Resupply,Ready
6,64,0.5616162878581624,Low,Recon,Critical
7,50,0.8492653126045686,Moderate,Recon,Delayed
2,52,0.7080726838203033,Low,Recon,Delayed
1,63,0.756925367288299,Low,Evacuation,Ready
7,87,0.9516490071878553,Moderate,Recon,Delayed
5,99,0.9449418632367432,Low,Training,Ready
4,50,0.9089281528275148,High,Evacuation,Critical
4,87,0.7550741902281617,Low,Recon,Ready
3,87,0.8681199050669166,Moderate,Evacuation,Ready
8,70,0.7564485277594046,Low,Training,Delayed
7,97,0.9348030412373887,Low,Recon,Delayed
1,78,0.70138791661645,Low,Training,Ready
2,54,0.9851176722074384,Moderate,Training,Delayed
4,98,0.9661613791144388,High,Training,Critical
6,59,0.8708013097258928,High,Recon,Critical
4,77,0.639707942088036,Low,Resupply,Ready
6,70,0.5658267943966292,Moderate,Recon,Critical
8,99,0.9273517250465988,Moderate,Training,Delayed
7,56,0.5826511430689807,Moderate,Recon,Critical
5,52,0.9271303944986679,Low,Training,Delayed
2,94,0.7453825033561803,Moderate,Resupply,Ready
1,96,0.7032783919040522,High,Evacuation,Critical
7,69,0.9515953894172146,Low,Resupply,Delayed
4,68,0.801925491270139,High,Resupply,Critical
1,84,0.7883070035648589,Moderate,Evacuation,Ready
6,53,0.7793829723121988,Low,Recon,Delayed
5,54,0.6855847580097657,Low,Evacuation,Delayed
8,50,0.8928215517645637,Low,Recon,Delayed
5,53,0.6263992220078864,Moderate,Recon,Delayed
4,61,0.9694474800206375,High,Training,Critical
10,76,0.9469926025234804,Low,Training,Critical
7,91,0.6687401628374491,High,Evacuation,Critical
4,72,0.8647318849158319,High,Resupply,Critical
8,74,0.7866115972247958,Low,Evacuation,Delayed
5,70,0.6688246509996173,High,Recon,Critical
5,73,0.9942608239977233,High,Training,Critical
5,74,0.5126186729241321,Moderate,Evacuation,Critical
2,94,0.6263230153106434,Moderate,Evacuation,Ready
3,95,0.7600370305555753,High,Training,Critical
4,81,0.760976501739282,Moderate,Training,Ready
9,81,0.7944665374727821,Low,Training,Critical
0,54,0.8758380860114596,High,Recon,Critical
5,85,0.8117389152596481,Moderate,Training,Ready
5,95,0.8001407302640184,Moderate,Resupply,Ready
5,91,0.5267572314565216,Low,Evacuation,Critical
5,98,0.6882651438946492,Moderate,Training,Ready
4,91,0.616027869850578,Low,Training,Ready
9,88,0.6326850558009878,High,Recon,Critical
6,65,0.7771687371701724,Low,Recon,Delayed
2,82,0.5997526574648042,Low,Evacuation,Critical
6,98,0.6469745505084488,Low,Resupply,Delayed
6,70,0.6185423542586701,Low,Evacuation,Delayed
6,58,0.9742514716090973,Moderate,Training,Delayed
5,55,0.9723328660855476,High,Resupply,Critical
2,100,0.8049707792980259,High,Resupply,Critical
5,94,0.96226123436595,Low,Resupply,Ready
3,84,0.8929063227341866,Low,Resupply,Ready
3,88,0.7949739414009044,High,Evacuation,Critical
3,71,0.5032176057483979,High,Recon,Critical
6,90,0.8862581430397021,Low,Recon,Delayed
6,54,0.8512441707942344,Low,Training,Delayed
4,91,0.807626826641207,Low,Recon,Ready
5,72,0.8802121558412359,High,Recon,Critical
5,66,0.7564610823873829,Moderate,Recon,Ready
7,61,0.8520416356606695,Low,Recon,Delayed
5,72,0.9675860433632466,Low,Training,Ready
3,65,0.6879025079230432,High,Evacuation,Critical
4,52,0.8540609174503127,Low,Resupply,Delayed
7,79,0.7378439090054794,Low,Recon,Delayed
5,71,0.8371998259069908,Moderate,Evacuation,Ready
7,58,0.8814466677771821,Low,Recon,Delayed
8,78,0.522726250217898,Low,Recon,Critical
7,96,0.823300221974331,High,Resupply,Critical
5,86,0.6133705922034722,High,Resupply,Critical
8,72,0.8350162689037834,High,Resupply,Critical
4,62,0.7341650929669068,High,Recon,Critical
6,81,0.8867763709324437,Moderate,Recon,Delayed
8,95,0.5617004076027983,High,Recon,Critical
6,96,0.8131611758280975,Low,Resupply,Delayed
3,97,0.6392353644637762,Moderate,Training,Ready
8,72,0.9264909976652957,High,Evacuation,Critical
4,94,0.9641917528181537,Low,Training,Ready
7,66,0.9981991468395277,Low,Recon,Delayed
2,89,0.8980037012136417,Low,Recon,Ready
10,70,0.8768670352140022,Low,Training,Critical
6,51,0.6077503794337755,Low,Recon,Delayed
4,86,0.6680035294950544,High,Evacuation,Critical
5,55,0.7328412708811398,High,Recon,Critical
6,93,0.8866905238911249,Low,Evacuation,Delayed
4,67,0.9574829325389843,Low,Training,Ready
5,79,0.5945695500114923,Low,Training,Critical
6,71,0.9611837423350514,High,Recon,Critical
3,82,0.847812326177029,Low,Evacuation,Ready
7,79,0.8053853653425194,Low,Recon,Delayed
7,66,0.5999206356409698,Low,Resupply,Critical
8,92,0.5277625164045753,Low,Resupply,Critical
4,81,0.78423244925397,Low,Resupply,Ready
7,91,0.8257578416644462,High,Resupply,Critical
3,100,0.6053907246773441,Moderate,Recon,Ready
4,63,0.7782281029127283,Moderate,Resupply,Ready
4,59,0.9282467013812867,Low,Evacuation,Delayed
0,96,0.91753297272751,Moderate,Training,Ready
1,100,0.9636775902931486,Moderate,Training,Ready
1,85,0.6829429047784402,Low,Resupply,Ready
7,83,0.6590247862754594,Moderate,Resupply,Delayed
5,58,0.8747130029904043,Low,Resupply,Delayed
5,91,0.7155562025485025,High,Recon,Critical
8,77,0.5437743320138904,Low,Training,Critical
3,60,0.6414005653352499,High,Resupply,Critical
5,63,0.7092911427657446,Low,Evacuation,Ready
3,88,0.646258212738126,Moderate,Resupply,Ready
5,96,0.6661027854736608,Moderate,Training,Ready
1,68,0.6468879530871954,Moderate,Resupply,Ready
7,64,0.5207495835915397,Low,Training,Critical
2,77,0.8185473504122213,Low,Resupply,Ready
4,73,0.7986462101767346,Moderate,Evacuation,Ready
6,57,0.8266917492393403,Low,Resupply,Delayed
7,92,0.5961549480168138,Low,Evacuation,Critical
9,58,0.6478272708062427,Moderate,Evacuation,Critical
4,96,0.8098079634724611,Moderate,Resupply,Ready
1,82,0.7998137842299606,Low,Evacuation,Ready
4,82,0.7531651546771339,Low,Recon,Ready
6,68,0.6752066250050988,Low,Resupply,Delayed
3,52,0.956465502387345,Moderate,Resupply,Delayed
4,59,0.6698851211494219,Moderate,Evacuation,Delayed
2,89,0.7278095782186258,High,Evacuation,Critical
6,96,0.8390569154771044,High,Resupply,Critical
8,91,0.771510715433382,Low,Recon,Delayed
7,50,0.6734429881821928,Low,Evacuation,Delayed
2,78,0.717822395228255,Low,Evacuation,Ready
6,99,0.897240408926753,Low,Training,Delayed
9,83,0.6390645777433062,High,Recon,Critical
3,100,0.5711276198884077,Moderate,Recon,Critical
8,62,0.6565816009148886,Low,Resupply,Delayed
7,50,0.9247671077439507,Low,Recon,Delayed
6,83,0.5444948574281734,Moderate,Resupply,Critical
10,78,0.9958480366862259,Moderate,Training,Critical
5,97,0.7705014494638313,Low,Recon,Ready
5,96,0.9924228719835471,High,Evacuation,Critical
5,62,0.9694982110429888,Moderate,Training,Ready
5,97,0.7264068571054584,Low,Resupply,Ready
4,98,0.5992455373026746,High,Training,Critical
10,78,0.5824423882825692,Low,Resupply,Critical
3,88,0.6199946819349788,High,Training,Critical
2,73,0.8550663202822686,High,Resupply,Critical
6,75,0.636474997365744,Moderate,Recon,Delayed
4,66,0.6707126348021492,Moderate,Evacuation,Ready
4,56,0.7243894019973074,Low,Resupply,Delayed
8,62,0.9566163402107282,High,Training,Critical
5,54,0.5946967089424231,Moderate,Resupply,Critical
4,75,0.5025132763049016,Moderate,Resupply,Critical
7,98,0.5300482051890851,High,Resupply,Critical
4,52,0.952383170840059,High,Training,Critical
2,56,0.8237582324216816,High,Evacuation,Critical
2,98,0.6365203096639034,Low,Recon,Ready
3,88,0.5885962505055955,High,Evacuation,Critical
3,50,0.6471333683185572,Moderate,Resupply,Delayed
8,98,0.55739846362564,High,Training,Critical
6,66,0.9707664551422206,Moderate,Evacuation,Delayed
0,92,0.8921030871826334,Low,Resupply,Ready
8,74,0.7311955884562704,Low,Recon,Delayed
5,52,0.932481302557601,Moderate,Recon,Delayed
4,64,0.6247291021466161,Moderate,Recon,Ready
5,78,0.8585602842360968,Low,Resupply,Ready
7,92,0.9280662495068717,Moderate,Training,Delayed
6,81,0.6783843558116363,Low,Evacuation,Delayed
3,75,0.8787322227253589,High,Recon,Critical
4,65,0.6475361746321546,Low,Resupply,Ready
2,74,0.6494285676295154,Low,Resupply,Ready
4,77,0.553528589277093,Low,Evacuation,Critical
1,58,0.7200290232546993,Low,Recon,Delayed
9,50,0.8648559532487111,Low,Resupply,Critical
3,78,0.9701104027856424,Low,Evacuation,Ready
1,71,0.8018984959645481,Low,Training,Ready
5,65,0.9315677688678695,High,Training,Critical
4,90,0.9112473246451136,High,Training,Critical
6,100,0.5866715264876404,Low,Recon,Critical
5,93,0.7429087144563158,High,Evacuation,Critical
8,100,0.5584617677626957,Low,Evacuation,Critical
5,90,0.8410765807808175,Moderate,Resupply,Ready
7,56,0.974949834123038,Moderate,Resupply,Delayed
4,63,0.5685447290393782,Low,Resupply,Critical
1,78,0.8669415654012707,Low,Evacuation,Ready
5,68,0.8161190754339305,Low,Resupply,Ready
4,68,0.7918025185040498,Low,Evacuation,Ready
3,51,0.6950601173441696,Moderate,Evacuation,Delayed
2,90,0.6775658238769062,Low,Training,Ready
12,94,0.5226245945094439,Low,Resupply,Critical
5,64,0.6089543541260067,Low,Training,Ready
10,52,0.5075884411434135,Low,Recon,Critical
6,60,0.7907085527910103,Moderate,Recon,Delayed
1,95,0.5529266179389545,Low,Recon,Critical
6,79,0.9365096970148581,High,Evacuation,Critical
2,89,0.7615715103485826,Low,Evacuation,Ready
4,67,0.8498449545293543,Low,Evacuation,Ready
5,100,0.7054285459202483,Moderate,Resupply,Ready
8,97,0.7802899045005243,Low,Training,Delayed
4,51,0.9713295884833153,Moderate,Evacuation,Delayed
2,81,0.5413670198118354,Moderate,Training,Critical
1,57,0.6269688859618481,Low,Training,Delayed
8,71,0.8899941634552722,Low,Training,Delayed
8,55,0.549368603441333,Low,Resupply,Critical
4,61,0.5378305519520554,Low,Resupply,Critical
1,96,0.6807706993770193,Low,Recon,Ready
9,89,0.5460839792362162,Low,Recon,Critical
4,85,0.7925392211031015,Low,Training,Ready
2,64,0.6131376254082999,Moderate,Recon,Ready
4,77,0.9478489815996862,Moderate,Training,Ready
3,98,0.8917500404226284,Moderate,Resupply,Ready
8,94,0.8498526030497381,Low,Resupply,Delayed
9,67,0.808472013692251,Low,Resupply,Critical
4,51,0.9317328651707317,High,Evacuation,Critical
4,62,0.6115310307713784,Moderate,Training,Ready
5,94,0.9365544213821138,High,Resupply,Critical
11,64,0.8947461492120261,Low,Training,Critical
8,69,0.8740804131938428,Moderate,Recon,Delayed
6,78,0.780627839037462,Moderate,Recon,Delayed
2,91,0.6231220804853,Low,Resupply,Ready
8,78,0.7117739579959481,Low,Training,Delayed
